tarea_id,nombre_tarea,tipo_tarea,prioridad,completada,fecha_entrega,fecha_completado,catalogo_tareas_id,metadata_extraccion
1,Migración de datos,Testing,Media,0,2025-11-17,,1,0
2,Revisión de sprint,Testing,Alta,0,2025-05-01,,1,0
3,Revisión de código,Diseño,Media,0,2025-07-16,,1,0
4,Pruebas de rendimiento,Desarrollo,Media,0,2025-02-26,,1,0
5,Config. infraestructura,Soporte,Alta,0,2025-01-15,,1,0
6,Automatización de pruebas,Diseño,Media,0,2025-02-04,,1,0
7,Pruebas unitarias,Soporte,Alta,0,2025-09-12,,1,0
8,Análisis de requisitos,Soporte,Media,0,2025-04-02,,1,0
9,CI/CD,Implementación,Baja,0,2025-05-22,,1,0
10,Pruebas de rendimiento,Desarrollo,Baja,0,2024-12-23,,1,0
11,Config. infraestructura,Testing,Alta,0,2025-11-28,,1,0
12,Desarrollo frontend,Desarrollo,Alta,0,2025-05-31,,1,0
13,Despliegue QA,Mantenimiento,Alta,0,2025-08-25,,1,0
14,Implementación API,Implementación,Media,0,2025-06-29,,1,0
15,Soporte post-implementación,Soporte,Alta,0,2025-07-19,,1,0
16,Mantenimiento,Documentación,Baja,0,2025-12-22,,1,0
17,Pruebas de rendimiento,Implementación,Media,0,2025-03-27,,1,0
18,Soporte post-implementación,Soporte,Media,0,2025-04-28,,1,0
19,Mantenimiento,Implementación,Baja,0,2025-07-03,,1,0
20,Migración de datos,Diseño,Baja,0,2025-09-12,,1,0
21,Validación QA,Soporte,Baja,1,2021-10-23,2021-11-02,2,0
22,CI/CD,Documentación,Media,1,2022-03-15,2022-03-15,2,0
23,Mantenimiento,Testing,Media,1,2021-06-29,2021-06-29,2,0
24,Config. infraestructura,Testing,Baja,1,2021-12-15,2021-12-23,2,0
25,Documentación técnica,Testing,Media,1,2021-07-10,2021-07-13,2,0
26,Revisión de sprint,Documentación,Media,0,2021-03-09,,2,0
27,Config. infraestructura,Mantenimiento,Media,1,2022-04-13,2022-04-13,2,0
28,Desarrollo backend,Testing,Alta,1,2021-04-08,2021-04-12,2,0
29,Análisis de requisitos,Documentación,Baja,1,2021-09-08,2021-09-08,2,0
30,CI/CD,Testing,Alta,1,2022-03-01,2022-03-01,2,0
31,Control de calidad,Testing,Media,1,2021-10-11,2021-10-12,2,0
32,Migración de datos,Diseño,Media,0,2021-10-16,,2,0
33,Config. infraestructura,Testing,Media,1,2021-05-24,2021-05-29,2,0
34,Pruebas funcionales,Mantenimiento,Baja,1,2022-03-07,2022-03-09,2,0
35,Migración de datos,Implementación,Media,1,2021-11-12,2021-11-16,2,0
36,Automatización de pruebas,Mantenimiento,Alta,1,2021-10-10,2021-10-17,2,0
37,Pruebas unitarias,Testing,Media,1,2022-06-23,2022-06-28,2,0
38,Despliegue QA,Desarrollo,Media,1,2022-02-21,2022-02-24,2,0
39,Desarrollo backend,Documentación,Alta,1,2021-11-10,2021-11-10,2,0
40,Mantenimiento,Testing,Media,1,2021-08-26,2021-08-29,2,0
41,CI/CD,Documentación,Alta,1,2021-08-27,2021-09-05,2,0
42,Análisis de requisitos,Testing,Media,1,2021-12-05,2021-12-08,2,0
43,Revisión de código,Diseño,Baja,1,2023-10-23,2023-10-28,3,0
44,Migración de datos,Desarrollo,Alta,1,2023-01-18,2023-01-23,3,0
45,Automatización de pruebas,Documentación,Media,0,2023-01-15,,3,0
46,Análisis de requisitos,Testing,Baja,0,2023-06-30,,3,0
47,Análisis de requisitos,Soporte,Media,1,2023-04-26,2023-05-01,3,0
48,Validación QA,Testing,Media,1,2023-05-24,2023-05-24,3,0
49,Validación QA,Documentación,Media,1,2022-10-17,2022-10-19,3,0
50,Integración BD,Desarrollo,Media,0,2023-01-20,,3,0
51,Optimización de consultas,Soporte,Baja,1,2023-03-31,2023-03-31,3,0
52,Pruebas unitarias,Soporte,Media,1,2023-07-03,2023-07-03,3,0
53,Soporte post-implementación,Testing,Alta,0,2023-06-28,,3,0
54,Diseño de interfaz,Implementación,Baja,0,2022-06-04,,3,0
55,Validación QA,Diseño,Media,0,2023-02-16,,3,0
56,Soporte post-implementación,Implementación,Alta,0,2023-12-14,,3,0
57,Migración de datos,Documentación,Media,1,2022-09-05,2022-09-16,3,0
58,Revisión de sprint,Documentación,Baja,1,2023-01-11,2023-01-14,3,0
59,Mantenimiento,Implementación,Media,0,2022-08-01,,3,0
60,Pruebas unitarias,Mantenimiento,Baja,0,2023-08-26,,3,0
61,Mantenimiento,Implementación,Baja,1,2022-01-23,2022-01-31,3,0
62,CI/CD,Documentación,Media,1,2023-03-06,2023-03-10,3,0
63,Migración de datos,Desarrollo,Media,0,2022-06-15,,3,0
64,Ajustes post-despliegue,Soporte,Media,1,2023-03-28,2023-04-01,3,0
65,Desarrollo backend,Testing,Media,1,2022-02-13,2022-02-25,3,0
66,Automatización de pruebas,Diseño,Media,0,2022-10-05,,3,0
67,Integración BD,Documentación,Baja,1,2022-11-08,2022-11-18,3,0
68,Diseño de interfaz,Soporte,Media,0,2021-12-20,,3,0
69,Control de calidad,Mantenimiento,Media,1,2022-10-05,2022-10-06,3,0
70,Despliegue QA,Soporte,Media,1,2024-01-10,2024-01-14,3,0
71,Análisis de requisitos,Desarrollo,Media,1,2023-07-15,2023-07-15,3,0
72,Soporte post-implementación,Desarrollo,Media,1,2022-09-24,2022-10-03,3,0
73,Control de calidad,Implementación,Media,1,2023-02-20,2023-02-22,3,0
74,Revisión de código,Diseño,Media,1,2023-09-08,2023-09-19,3,0
75,Implementación API,Testing,Media,1,2022-03-17,2022-03-28,3,0
76,Documentación técnica,Testing,Alta,1,2023-01-06,2023-01-12,3,0
77,Diseño de interfaz,Desarrollo,Media,0,2022-12-20,,3,0
78,Validación QA,Mantenimiento,Media,1,2022-11-19,2022-11-19,3,0
79,CI/CD,Implementación,Baja,1,2023-08-24,2023-08-27,3,0
80,Automatización de pruebas,Desarrollo,Alta,1,2023-03-23,2023-03-24,3,0
81,Implementación API,Soporte,Baja,1,2022-10-07,2022-10-07,3,0
82,Revisión de código,Soporte,Baja,0,2023-02-08,,3,0
83,Soporte post-implementación,Diseño,Alta,1,2023-03-26,2023-03-31,3,0
84,Control de calidad,Diseño,Alta,1,2024-01-23,2024-01-27,3,0
85,Desarrollo backend,Implementación,Baja,1,2022-11-18,2022-11-29,3,0
86,Análisis de requisitos,Soporte,Alta,1,2023-01-28,2023-02-02,3,0
87,Pruebas unitarias,Implementación,Media,0,2022-09-28,,3,0
88,Seguridad,Documentación,Media,0,2022-10-13,,3,0
89,Optimización de consultas,Documentación,Media,0,2023-03-10,,3,0
90,Diseño de interfaz,Documentación,Baja,0,2023-02-20,,3,0
91,Análisis de requisitos,Documentación,Media,1,2022-06-17,2022-06-25,3,0
92,Config. infraestructura,Soporte,Baja,1,2022-06-03,2022-06-03,3,0
93,Validación QA,Desarrollo,Alta,0,2022-11-15,,3,0
94,Revisión de código,Implementación,Alta,1,2023-06-03,2023-06-09,3,0
95,CI/CD,Implementación,Media,0,2024-01-19,,3,0
96,Seguridad,Mantenimiento,Media,0,2023-01-24,,3,0
97,CI/CD,Documentación,Media,1,2024-01-05,2024-01-11,3,0
98,Pruebas funcionales,Mantenimiento,Alta,0,2023-03-18,,3,0
99,Ajustes post-despliegue,Soporte,Baja,0,2023-09-27,,3,0
100,Ajustes post-despliegue,Soporte,Media,1,2022-10-07,2022-10-08,3,0
101,Pruebas unitarias,Mantenimiento,Alta,1,2023-06-07,2023-06-09,3,0
102,Mantenimiento,Diseño,Baja,1,2022-06-01,2022-06-08,3,0
103,Desarrollo frontend,Testing,Alta,1,2022-10-16,2022-10-20,3,0
104,Revisión de código,Documentación,Media,0,2022-11-11,,3,0
105,Revisión de sprint,Mantenimiento,Media,0,2023-07-11,,3,0
106,Implementación API,Documentación,Media,1,2022-09-20,2022-09-24,3,0
107,Desarrollo frontend,Diseño,Media,1,2023-09-17,2023-09-22,3,0
108,Optimización de consultas,Desarrollo,Alta,1,2022-03-23,2022-03-23,3,0
109,Diseño de interfaz,Soporte,Media,1,2022-04-04,2022-04-07,3,0
110,Pruebas de rendimiento,Documentación,Media,1,2023-02-04,2023-02-07,3,0
111,Seguridad,Testing,Alta,1,2024-03-08,2024-03-12,3,0
112,Validación QA,Soporte,Media,1,2022-03-23,2022-03-29,3,0
113,Migración de datos,Diseño,Alta,0,2022-03-28,,3,0
114,Pruebas unitarias,Testing,Alta,1,2023-01-29,2023-01-31,3,0
115,Pruebas funcionales,Mantenimiento,Media,1,2023-11-29,2023-12-07,3,0
116,Optimización de consultas,Documentación,Media,1,2022-01-20,2022-01-24,3,0
117,Validación QA,Soporte,Baja,1,2023-06-21,2023-06-29,3,0
118,Desarrollo backend,Mantenimiento,Media,0,2022-02-17,,3,0
119,Config. infraestructura,Mantenimiento,Media,1,2023-06-28,2023-07-04,3,0
120,Mantenimiento,Documentación,Alta,0,2022-06-11,,3,0
121,Revisión de sprint,Diseño,Media,1,2022-12-07,2022-12-16,3,0
122,Ajustes post-despliegue,Soporte,Baja,0,2023-11-12,,3,0
123,Despliegue QA,Desarrollo,Media,1,2023-06-09,2023-06-19,3,0
124,Diseño de interfaz,Testing,Baja,1,2023-08-07,2023-08-09,3,0
125,Documentación técnica,Documentación,Alta,0,2022-11-28,,3,0
126,Pruebas de rendimiento,Mantenimiento,Media,1,2023-08-12,2023-08-12,3,0
127,Pruebas de rendimiento,Soporte,Media,0,2023-02-21,,3,0
128,Integración BD,Implementación,Baja,1,2023-03-03,2023-03-12,3,0
129,Automatización de pruebas,Documentación,Alta,1,2024-01-13,2024-01-22,3,0
130,Seguridad,Testing,Media,1,2022-08-15,2022-08-23,3,0
131,Revisión de sprint,Implementación,Media,1,2023-05-18,2023-05-21,3,0
132,Pruebas de rendimiento,Testing,Alta,1,2022-09-21,2022-09-21,3,0
133,Diseño de interfaz,Desarrollo,Alta,1,2023-05-11,2023-05-16,3,0
134,Documentación técnica,Soporte,Media,0,2023-08-12,,3,0
135,Desarrollo frontend,Diseño,Alta,1,2023-05-28,2023-06-04,3,0
136,Ajustes post-despliegue,Documentación,Media,1,2023-01-29,2023-02-03,3,0
137,Mantenimiento,Soporte,Media,1,2022-06-06,2022-06-07,3,0
138,Mantenimiento,Soporte,Media,1,2022-10-30,2022-11-03,3,0
139,Documentación técnica,Implementación,Media,1,2023-09-24,2023-09-25,3,0
140,Automatización de pruebas,Soporte,Media,1,2023-03-01,2023-03-11,3,0
141,Migración de datos,Mantenimiento,Media,1,2022-04-19,2022-04-19,3,0
142,Integración BD,Documentación,Baja,1,2022-08-22,2022-08-29,3,0
143,Implementación API,Implementación,Media,1,2023-09-09,2023-09-15,3,0
144,Mantenimiento,Desarrollo,Media,1,2023-07-31,2023-08-09,3,0
145,Documentación técnica,Testing,Alta,0,2023-03-29,,3,0
146,Mantenimiento,Desarrollo,Media,1,2023-05-24,2023-05-24,3,0
147,Pruebas unitarias,Documentación,Alta,1,2022-08-17,2022-08-17,3,0
148,CI/CD,Implementación,Media,0,2022-07-11,,3,0
149,Pruebas unitarias,Documentación,Baja,1,2022-05-19,2022-05-26,3,0
150,Pruebas funcionales,Desarrollo,Alta,0,2022-09-07,,3,0
151,Documentación técnica,Documentación,Media,0,2022-06-20,,3,0
152,Seguridad,Implementación,Media,1,2022-12-31,2022-12-31,3,0
153,Análisis de requisitos,Desarrollo,Media,0,2023-12-09,,3,0
154,Config. infraestructura,Documentación,Media,0,2024-01-03,,3,0
155,Implementación API,Implementación,Baja,1,2023-09-05,2023-09-14,3,0
156,Desarrollo frontend,Diseño,Baja,1,2022-11-08,2022-11-21,3,0
157,Revisión de código,Mantenimiento,Baja,0,2022-10-23,,3,0
158,Pruebas de rendimiento,Testing,Baja,0,2023-06-08,,3,0
159,Integración BD,Diseño,Media,1,2023-01-28,2023-01-31,3,0
160,Pruebas funcionales,Diseño,Alta,1,2022-04-06,2022-04-09,3,0
161,Soporte post-implementación,Mantenimiento,Media,0,2023-01-31,,3,0
162,Soporte post-implementación,Mantenimiento,Alta,1,2023-05-04,2023-05-08,3,0
163,Automatización de pruebas,Mantenimiento,Media,0,2022-08-10,,3,0
164,Config. infraestructura,Documentación,Media,0,2023-07-28,,3,0
165,Automatización de pruebas,Implementación,Alta,1,2022-02-26,2022-02-26,3,0
166,Migración de datos,Documentación,Alta,1,2022-05-18,2022-05-22,3,0
167,Integración BD,Diseño,Media,1,2022-06-12,2022-06-19,3,0
168,Mantenimiento,Documentación,Media,1,2022-10-02,2022-10-08,3,0
169,Pruebas unitarias,Desarrollo,Alta,0,2022-10-19,,3,0
170,Pruebas unitarias,Diseño,Baja,1,2023-05-19,2023-05-22,3,0
171,Config. infraestructura,Documentación,Alta,0,2023-07-24,,3,0
172,Revisión de sprint,Soporte,Media,1,2023-10-22,2023-10-28,3,0
173,Soporte post-implementación,Testing,Media,1,2022-07-04,2022-07-10,3,0
174,Integración BD,Testing,Media,1,2022-09-04,2022-09-07,3,0
175,Pruebas unitarias,Diseño,Media,1,2022-06-13,2022-06-13,3,0
176,Despliegue QA,Mantenimiento,Baja,0,2023-10-09,,3,0
177,Revisión de código,Mantenimiento,Baja,1,2023-03-03,2023-03-08,3,0
178,Validación QA,Diseño,Media,0,2024-01-26,,3,0
179,Migración de datos,Mantenimiento,Baja,0,2023-04-14,,3,0
180,Implementación API,Mantenimiento,Media,1,2022-07-21,2022-07-31,3,0
181,Validación QA,Implementación,Alta,0,2022-04-12,,3,0
182,Validación QA,Implementación,Baja,1,2024-01-19,2024-01-29,3,0
183,Integración BD,Soporte,Media,0,2022-07-24,,3,0
184,CI/CD,Desarrollo,Media,1,2022-08-07,2022-08-15,3,0
185,Integración BD,Mantenimiento,Media,0,2023-08-16,,3,0
186,Pruebas unitarias,Desarrollo,Media,0,2024-01-10,,3,0
187,Revisión de sprint,Documentación,Media,0,2022-11-12,,3,0
188,Config. infraestructura,Implementación,Media,1,2023-05-14,2023-05-14,3,0
189,Análisis de requisitos,Testing,Media,1,2022-10-10,2022-10-15,3,0
190,CI/CD,Diseño,Media,1,2022-03-13,2022-03-15,3,0
191,Implementación API,Mantenimiento,Baja,1,2022-08-21,2022-08-23,3,0
192,Soporte post-implementación,Testing,Media,1,2022-02-14,2022-02-21,3,0
193,Migración de datos,Documentación,Media,1,2022-11-19,2022-11-19,3,0
194,Diseño de interfaz,Implementación,Media,0,2022-06-21,,3,0
195,Integración BD,Testing,Media,1,2022-12-17,2022-12-18,3,0
196,Pruebas unitarias,Mantenimiento,Baja,1,2022-05-22,2022-05-28,3,0
197,Migración de datos,Testing,Media,1,2023-01-03,2023-01-06,3,0
198,Migración de datos,Testing,Alta,1,2022-03-19,2022-03-26,3,0
199,Config. infraestructura,Testing,Baja,1,2022-04-29,2022-05-08,3,0
200,Revisión de código,Testing,Baja,0,2022-07-04,,3,0
201,Desarrollo frontend,Soporte,Alta,0,2023-01-08,,3,0
202,Migración de datos,Mantenimiento,Media,1,2023-11-10,2023-11-18,3,0
203,Integración BD,Desarrollo,Media,1,2023-06-10,2023-06-10,3,0
204,Diseño de interfaz,Mantenimiento,Alta,0,2022-04-17,,3,0
205,Revisión de sprint,Mantenimiento,Alta,1,2022-06-22,2022-06-25,3,0
206,Seguridad,Desarrollo,Alta,1,2022-04-02,2022-04-09,3,0
207,Revisión de código,Desarrollo,Media,0,2022-12-22,,3,0
208,Desarrollo backend,Mantenimiento,Baja,1,2023-05-19,2023-05-25,3,0
209,Automatización de pruebas,Diseño,Media,1,2022-06-06,2022-06-16,3,0
210,Mantenimiento,Desarrollo,Media,1,2022-11-04,2022-11-14,3,0
211,Revisión de sprint,Desarrollo,Media,1,2023-06-07,2023-06-17,3,0
212,Documentación técnica,Desarrollo,Baja,0,2022-07-31,,3,0
213,Desarrollo frontend,Documentación,Media,0,2023-06-04,,3,0
214,Automatización de pruebas,Desarrollo,Alta,1,2022-09-19,2022-09-19,3,0
215,Integración BD,Mantenimiento,Media,1,2022-10-17,2022-10-20,3,0
216,Integración BD,Diseño,Media,1,2023-12-17,2023-12-22,3,0
217,Revisión de código,Diseño,Media,1,2022-05-04,2022-05-11,3,0
218,Revisión de código,Testing,Baja,0,2023-10-02,,3,0
219,Automatización de pruebas,Documentación,Baja,1,2022-03-11,2022-03-16,3,0
220,Diseño de interfaz,Desarrollo,Media,1,2022-08-01,2022-08-04,3,0
221,Pruebas unitarias,Mantenimiento,Media,1,2024-08-01,2024-08-03,4,0
222,Ajustes post-despliegue,Documentación,Alta,0,2024-08-01,,4,0
223,Mantenimiento,Documentación,Media,0,2024-05-20,,4,0
224,Análisis de requisitos,Testing,Media,0,2024-07-12,,4,0
225,Implementación API,Mantenimiento,Media,1,2024-07-31,2024-08-01,4,0
