defecto_id,proyecto_id,tipo_defecto_id,fase_id,severidad,descripcion,fecha_registro,metadata_extraccion
1,1,22,9,Media,Compatibilidad: Navegador/OS en módulo de autenticación.,2025-02-01,0
2,1,4,6,Media,Funcionalidad: Validación de entradas en módulo de catálogo.,2024-12-20,0
3,1,50,13,Media,Otros: Terceros en módulo de autenticación.,2025-01-04,0
4,1,32,12,Media,Portabilidad: Rutas/FS en módulo de catálogo.,2024-11-20,0
5,1,21,9,Baja,Usabilidad: Feedback insuficiente en módulo de reportes.,2025-01-27,0
6,1,20,3,Baja,Usabilidad: Diseño inconsistente en módulo de catálogo.,2025-01-07,0
7,2,22,2,Baja,Compatibilidad: Navegador/OS en módulo de usuario.,2021-12-06,0
8,2,38,6,Media,Fiabilidad: Fugas de recursos en módulo de reportes.,2022-03-19,0
9,2,3,5,Alta,Funcionalidad: Reglas de negocio en módulo de datos.,2021-12-31,0
10,2,1,1,Baja,Funcionalidad: Lógica/algoritmo en módulo de datos.,2022-02-12,0
11,2,27,2,Baja,Mantenibilidad: Duplicación/código espagueti en módulo de autenticación.,2022-02-05,0
12,2,27,3,Media,Mantenibilidad: Duplicación/código espagueti en módulo de datos.,2021-10-15,0
13,2,34,13,Media,Portabilidad: Dependencias SO en módulo de usuario.,2021-05-23,0
14,5,43,11,Baja,Documentación: Guías incompletas en módulo de catálogo.,2025-11-11,0
15,5,37,13,Baja,Fiabilidad: Condiciones de carrera en módulo de reportes.,2025-08-21,0
16,5,39,6,Media,Fiabilidad: Time-outs en módulo de UI.,2025-06-24,0
17,5,28,11,Media,Mantenibilidad: Complejidad ciclomática en módulo de pago.,2025-07-08,0
18,5,30,8,Baja,Mantenibilidad: Falta de pruebas en módulo de datos.,2025-08-11,0
19,5,49,11,Baja,Otros: Infraestructura en módulo de datos.,2025-11-08,0
20,5,11,15,Media,Seguridad: XSS en módulo de UI.,2025-10-09,0
21,7,44,5,Baja,Documentación: Comentarios engañosos en módulo de autenticación.,2024-01-30,0
22,7,51,7,Baja,Otros: Desconocido en módulo de pago.,2023-08-23,0
23,7,35,11,Media,Portabilidad: Diferencias de runtime en módulo de UI.,2023-01-14,0
24,7,9,13,Baja,Rendimiento: N+1 queries en módulo de usuario.,2023-01-02,0
25,11,26,2,Media,Compatibilidad: Localización en módulo de usuario.,2021-08-31,0
26,11,24,1,Baja,Compatibilidad: Dependencias/bibliotecas en módulo de reportes.,2020-12-06,0
27,11,2,4,Media,Funcionalidad: Requisitos mal interpretados en módulo de catálogo.,2020-05-10,0
28,11,6,5,Media,Rendimiento: Consultas ineficientes en módulo de reportes.,2020-05-13,0
29,11,16,3,Baja,Seguridad: XXE en módulo de datos.,2021-01-30,0
30,15,51,12,Baja,Otros: Desconocido en módulo de reportes.,2022-09-19,0
31,15,34,7,Baja,Portabilidad: Dependencias SO en módulo de catálogo.,2022-10-21,0
32,15,8,5,Alta,Rendimiento: Bloqueos/contención en módulo de datos.,2022-12-17,0
33,21,43,15,Baja,Documentación: Guías incompletas en módulo de pago.,2022-08-15,0
34,21,38,8,Baja,Fiabilidad: Fugas de recursos en módulo de datos.,2023-02-20,0
35,21,17,2,Baja,Usabilidad: Accesibilidad en módulo de autenticación.,2022-11-24,0
36,24,38,14,Baja,Fiabilidad: Fugas de recursos en módulo de API.,2024-10-27,0
37,24,37,6,Media,Fiabilidad: Condiciones de carrera en módulo de UI.,2025-04-01,0
38,24,29,5,Baja,Mantenibilidad: Nombres pobres en módulo de catálogo.,2024-05-27,0
39,29,23,9,Baja,Compatibilidad: Resolución/dispositivo en módulo de catálogo.,2023-01-25,0
40,29,45,11,Baja,Documentación: Falta de ejemplo en módulo de usuario.,2023-04-14,0
41,29,2,6,Baja,Funcionalidad: Requisitos mal interpretados en módulo de reportes.,2022-09-08,0
42,29,3,6,Baja,Funcionalidad: Reglas de negocio en módulo de UI.,2023-01-07,0
43,29,10,15,Media,Rendimiento: Caching incorrecto en módulo de reportes.,2023-02-15,0
44,29,15,2,Media,Seguridad: Deserialización peligrosa en módulo de pago.,2022-11-02,0
45,29,19,3,Baja,Usabilidad: Etiquetas/ayuda en módulo de autenticación.,2023-05-23,0
46,31,45,14,Baja,Documentación: Falta de ejemplo en módulo de reportes.,2022-12-08,0
47,34,4,7,Alta,Funcionalidad: Validación de entradas en módulo de usuario.,2021-09-20,0
48,36,37,7,Baja,Fiabilidad: Condiciones de carrera en módulo de reportes.,2023-02-05,0
49,36,40,5,Baja,Fiabilidad: Reintentos/retornos en módulo de autenticación.,2022-03-04,0
50,36,41,9,Baja,Fiabilidad: Estados inconsistentes en módulo de UI.,2022-04-15,0
51,36,39,8,Media,Fiabilidad: Time-outs en módulo de API.,2022-10-17,0
52,36,28,5,Baja,Mantenibilidad: Complejidad ciclomática en módulo de usuario.,2022-02-25,0
53,36,36,9,Baja,Portabilidad: Script deploy en módulo de datos.,2022-06-08,0
54,36,16,6,Alta,Seguridad: XXE en módulo de datos.,2022-07-19,0
